2021-01-04,9200829
2021-01-05,9288861
2021-01-06,9742508
2021-01-07,10355288
2021-01-08,12648795
2021-01-09,17745412
2021-01-10,18579144
2021-01-11,18654343
2021-01-12,20194402
2021-01-13,22329596
2021-01-14,23604433
2021-01-15,23743764
2021-01-16,33348780
2021-01-17,35802696
2021-01-18,37557457
2021-01-19,37577979
2021-01-20,37593131
2021-01-21,37640478
2021-01-22,38192640
2021-01-23,39091893
2021-01-24,42702971
2021-01-25,44076233
2021-01-26,44694604
2021-01-27,44907594
2021-01-28,44939820
2021-01-29,45143259
2021-01-30,47074537
2021-01-31,47721853
2021-02-01,51247323
2021-02-02,51504978
2021-02-03,51899764
2021-02-04,52216180
2021-02-05,52260806
2021-02-06,57936776
2021-02-07,87828749
2021-02-08,110989696
